,Quarter,Tm,Detail,SFO,HOU
0,1.0,49ers,Jimmy Thomas 54 yard pass from John Brodie (Bruce Gossett kick),7,0
1,1.0,Oilers,Roy Hopkins 4 yard rush (Roy Gerela kick),7,7
2,2.0,Oilers,Roy Gerela 26 yard field goal,7,10
3,3.0,49ers,"Safety, Randolph blocked punt in end zone",9,10
4,3.0,49ers,Dick Witcher 9 yard pass from John Brodie (Bruce Gossett kick),16,10
5,3.0,Oilers,Roy Gerela 26 yard field goal,16,13
6,4.0,49ers,Ken Willard 3 yard rush (Bruce Gossett kick),23,13
7,4.0,49ers,Gene Washington 15 yard pass from John Brodie (Bruce Gossett kick),30,13
8,4.0,Oilers,Roy Hopkins 1 yard rush (Roy Gerela kick),30,20
