,Quarter,Tm,Detail,PIT,RAM
0,1.0,Rams,Kirby Jackson special teams fumble recovery in end zone (Mike Lansford kick),0,7
1,1.0,Steelers,Lyneal Alston 22 yard pass from Steve Bono (David Trout kick),7,7
2,2.0,Steelers,Rodney Carter 10 yard pass from Steve Bono (David Trout kick),14,7
3,2.0,Rams,Charles White 2 yard rush (Mike Lansford kick),14,14
4,2.0,Rams,James McDonald 1 yard pass from Steve Dils (Mike Lansford kick),14,21
5,3.0,Rams,Malcolm Moore 11 yard pass from Steve Dils (Mike Lansford kick),14,28
6,4.0,Rams,Mike Lansford 39 yard field goal,14,31
7,4.0,Steelers,Lyneal Alston 42 yard pass from Reggie Collier (David Trout kick),21,31
