,Quarter,Tm,Detail,RAI,SDG
0,1.0,Chargers,Rolf Benirschke 27 yard field goal,0,3
1,2.0,Raiders,Chris Bahr 22 yard field goal,3,3
2,2.0,Raiders,Frank Hawkins 2 yard pass from Jim Plunkett (Chris Bahr kick),10,3
3,3.0,Raiders,Mike Davis 56 yard interception return (Chris Bahr kick),17,3
4,3.0,Raiders,Chris Bahr 32 yard field goal,20,3
5,3.0,Chargers,Wes Chandler 25 yard pass from Dan Fouts (Rolf Benirschke kick),20,10
6,3.0,Chargers,Rolf Benirschke 23 yard field goal,20,13
7,3.0,Chargers,Chuck Muncie 2 yard rush (Rolf Benirschke kick),20,20
8,4.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),20,27
9,4.0,Raiders,Marcus Allen 2 yard rush (Chris Bahr kick),27,27
10,4.0,Raiders,James Davis 52 yard interception return (Chris Bahr kick),34,27
11,4.0,Raiders,Marcus Allen 22 yard rush (Chris Bahr kick),41,27
12,4.0,Chargers,Dan Fouts 4 yard rush (Rolf Benirschke kick),41,34
