,Quarter,Tm,Detail,NOR,SFO
0,1.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),0,7
1,1.0,Saints,Greg Scales 5 yard pass from Steve Walsh (Morten Andersen kick),7,7
2,2.0,Saints,Morten Andersen 30 yard field goal,10,7
3,4.0,49ers,Mike Cofer 30 yard field goal,10,10
4,4.0,Saints,Morten Andersen 40 yard field goal,13,10
