,Quarter,Tm,Detail,MIA,HOU
0,1.0,Dolphins,Fuad Reveiz 33 yard field goal,3,0
1,1.0,Dolphins,William Judson 61 yard interception return (Fuad Reveiz kick),10,0
2,2.0,Dolphins,Fuad Reveiz 36 yard field goal,13,0
3,2.0,Oilers,Butch Woolfolk 80 yard pass from Warren Moon,13,6
4,2.0,Oilers,Tony Zendejas 35 yard field goal,13,9
5,3.0,Dolphins,Fuad Reveiz 23 yard field goal,16,9
6,3.0,Oilers,Tony Zendejas 46 yard field goal,16,12
7,4.0,Oilers,Mike Rozier 3 yard rush (Tony Zendejas kick),16,19
8,4.0,Dolphins,Mark Duper 67 yard pass from Don Strock (Fuad Reveiz kick),23,19
9,4.0,Oilers,Mike Rozier 1 yard rush (Tony Zendejas kick),23,26
