,Quarter,Tm,Detail,GNB,DEN
0,2.0,Broncos,Jim Turner 35 yard field goal,0,3
1,2.0,Broncos,Jim Turner 39 yard field goal,0,6
2,3.0,Broncos,Jack Dolbin 10 yard pass from Steve Ramsey (Jim Turner kick),0,13
3,4.0,Packers,Willard Harrell 4 yard pass from John Hadl,6,13
4,4.0,Broncos,Jim Turner 32 yard field goal,6,16
5,4.0,Packers,John Brockington 1 yard rush (Dave Pureifory kick),13,16
6,4.0,Broncos,Randy Gradishar 44 yard interception return (Jim Turner kick),13,23
