,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,6:35,Bears,Eddie Royal 4 yard pass from Brian Hoyer (Connor Barth kick),0,7
1,2.0,2:19,Lions,Matt Prater 50 yard field goal,3,7
2,3.0,7:18,Lions,Matt Prater 21 yard field goal,6,7
3,3.0,3:34,Bears,Zach Miller 6 yard pass from Brian Hoyer (Connor Barth kick),6,14
4,4.0,10:09,Bears,Connor Barth 25 yard field goal,6,17
5,4.0,1:52,Lions,Andre Roberts 85 yard punt return (Golden Tate pass from Matthew Stafford),14,17
