,Quarter,Time,Tm,Detail,DET,SEA
0,1.0,11:33,Seahawks,Matt Hasselbeck 4 yard rush (Josh Brown kick),0,7
1,1.0,0:52,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),0,14
2,1.0,0:38,Lions,Scotty Anderson 72 yard pass from Joey Harrington (Jason Hanson kick),7,14
3,2.0,11:05,Seahawks,Koren Robinson offensive fumble recovery in end zone (Josh Brown kick),7,21
4,2.0,6:38,Seahawks,Bobby Engram 34 yard pass from Matt Hasselbeck (Josh Brown kick),7,28
5,2.0,3:51,Seahawks,Bobby Engram 83 yard punt return (Josh Brown kick),7,35
6,2.0,0:41,Lions,Az-Zahir Hakim 15 yard pass from Joey Harrington (Jason Hanson kick),14,35
