,Quarter,Tm,Detail,WAS,MIA
0,1.0,Dolphins,Tony Martin 80 yard pass from Dan Marino (Pete Stoyanovich kick),0,7
1,1.0,Dolphins,Mark Higgs 1 yard rush (Pete Stoyanovich kick),0,14
2,2.0,Redskins,Chip Lohmiller 28 yard field goal,3,14
3,4.0,Redskins,Ricky Sanders 12 yard pass from Rich Gannon (Chip Lohmiller kick),10,14
4,4.0,Dolphins,Pete Stoyanovich 37 yard field goal,10,17
