,Quarter,Tm,Detail,PHI,CRD
0,1.0,Eagles,Cliff Patton 27 yard field goal,3,0
1,1.0,Eagles,Pete Pihos 7 yard pass from Tommy Thompson (Cliff Patton kick),10,0
2,2.0,Eagles,Neill Armstrong 12 yard pass from Tommy Thompson (Cliff Patton kick),17,0
3,2.0,Eagles,Jim Parmer 2 yard rush (Cliff Patton kick),24,0
4,2.0,Eagles,Jim Parmer 6 yard rush (Cliff Patton kick),31,0
5,3.0,Eagles,Jack Ferrante 15 yard pass from Tommy Thompson (Cliff Patton kick),38,0
6,3.0,Cardinals,Fran Polsfoot 34 yard pass from Jim Hardy (Pat Harder kick),38,7
7,3.0,Eagles,Frank Reagan 32 yard interception return (Cliff Patton kick),45,7
