,Quarter,Time,Tm,Detail,BUF,TEN
0,2.0,11:19,Titans,"Safety, Kearse sacked Johnson in end zone",0,2
1,2.0,7:55,Titans,Steve McNair 1 yard rush (Al Del Greco kick),0,9
2,2.0,0:00,Titans,Al Del Greco 40 yard field goal,0,12
3,3.0,12:28,Bills,Antowain Smith 4 yard rush (Steve Christie kick),7,12
4,4.0,11:08,Bills,Antowain Smith 1 yard rush (pass failed),13,12
5,4.0,1:48,Titans,Al Del Greco 36 yard field goal,13,15
6,4.0,0:16,Bills,Steve Christie 41 yard field goal,16,15
7,4.0,0:03,Titans,Kevin Dyson 75 yard kickoff return (Al Del Greco kick),16,22
