,Quarter,Time,Tm,Detail,TAM,MIN
0,1.0,,Buccaneers,Errict Rhett 5 yard rush (Michael Husted kick),7,0
1,2.0,,Vikings,Leroy Hoard 5 yard rush (Scott Sisson kick),7,7
2,3.0,,Buccaneers,Michael Husted 36 yard field goal,10,7
3,3.0,,Vikings,Leroy Hoard 22 yard rush (Scott Sisson kick),10,14
4,4.0,,Vikings,Cris Carter 36 yard pass from Brad Johnson (Scott Sisson kick),10,21
