,Quarter,Tm,Detail,WAS,NYG
0,1,Giants,Ward Cuff 40 yard field goal,0,3
1,2,Giants,Ken Strong 19 yard field goal,0,6
2,3,Giants,Ward Cuff 15 yard field goal,0,9
3,4,Redskins,Bob Masterson 20 yard pass from Frank Filchock (Bob Masterson kick),7,9
