,Quarter,Tm,Detail,PIT,SDG
0,1.0,Chargers,Rolf Benirschke 33 yard field goal,0,3
1,2.0,Steelers,Matt Bahr 32 yard field goal,3,3
2,2.0,Chargers,Rolf Benirschke 26 yard field goal,3,6
3,2.0,Chargers,Rolf Benirschke 26 yard field goal,3,9
4,3.0,Chargers,Dan Fouts 1 yard rush (Rolf Benirschke kick),3,16
5,3.0,Steelers,Sidney Thornton 2 yard rush (Matt Bahr kick),10,16
6,3.0,Chargers,Rolf Benirschke 33 yard field goal,10,19
7,4.0,Chargers,Chuck Muncie 10 yard rush (Rolf Benirschke kick),10,26
8,4.0,Steelers,Bennie Cunningham 16 yard pass from Terry Bradshaw (Matt Bahr kick),17,26
