,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Ken Willis 50 yard field goal,3,0
1,1.0,Cowboys,"Safety, Hendrix tackled Booty in end zone",5,0
2,2.0,Eagles,Maurice Johnson 31 yard pass from Jeff Kemp (Roger Ruzek kick),5,7
3,2.0,Eagles,Roger Ruzek 37 yard field goal,5,10
4,3.0,Cowboys,Ken Willis 32 yard field goal,8,10
5,4.0,Cowboys,Kelvin Martin 85 yard punt return (Ken Willis kick),15,10
6,4.0,Eagles,Roger Ruzek 47 yard field goal,15,13
7,4.0,Cowboys,Michael Irvin 4 yard pass from Steve Beuerlein (Ken Willis kick),22,13
8,4.0,Cowboys,Ken Willis 37 yard field goal,25,13
