,Quarter,Time,Tm,Detail,PIT,CLE
0,1,8:45,Browns,"Safety,",0,2
1,1,6:43,Browns,O.J. Santiago 12 yard pass from Tim Couch (Phil Dawson kick),0,9
2,1,2:01,Steelers,Kris Brown 31 yard field goal,3,9
3,2,6:12,Steelers,Kris Brown 27 yard field goal,6,9
4,3,10:52,Steelers,Kris Brown 37 yard field goal,9,9
5,3,4:20,Browns,Phil Dawson 40 yard field goal,9,12
6,4,11:28,Steelers,Kris Brown 37 yard field goal,12,12
7,OT,9:38,Steelers,Kris Brown 32 yard field goal,15,12
