,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Bob Hayes 35 yard pass from Don Meredith (Mike Clark kick),7,0
1,2.0,Cowboys,Mike Clark 45 yard field goal,10,0
2,2.0,Redskins,Charley Taylor 35 yard pass from Sonny Jurgensen (Charlie Gogolak kick),10,7
3,2.0,Cowboys,Mike Clark 34 yard field goal,13,7
4,2.0,Redskins,Charlie Gogolak 37 yard field goal,13,10
5,3.0,Redskins,Charley Taylor 11 yard pass from Sonny Jurgensen (Charlie Gogolak kick),13,17
6,3.0,Cowboys,Mike Clark 13 yard field goal,16,17
7,3.0,Cowboys,Lance Rentzel 14 yard pass from Don Meredith (Mike Clark kick),23,17
8,3.0,Cowboys,Lance Rentzel 9 yard pass from Craig Morton (Mike Clark kick),30,17
9,4.0,Cowboys,Don Perkins 28 yard rush (Mike Clark kick),37,17
10,4.0,Cowboys,Larry Cole 21 yard defensive fumble return (Mike Clark kick),44,17
11,4.0,Redskins,Chris Hanburger 30 yard interception return (Charlie Gogolak kick),44,24
