,Quarter,Time,Tm,Detail,JAX,DET
0,1.0,1:36,Jaguars,Jason Myers 27 yard field goal,3,0
1,2.0,11:13,Lions,Andre Roberts 55 yard punt return (Matt Prater kick failed),3,6
2,2.0,2:45,Jaguars,Allen Robinson 3 yard pass from Blake Bortles (Jason Myers kick failed),9,6
3,2.0,0:19,Lions,Matt Prater 27 yard field goal,9,9
4,3.0,14:02,Lions,Rafael Bush 39 yard interception return (Matt Prater kick),9,16
5,3.0,9:20,Jaguars,Jason Myers 52 yard field goal,12,16
6,3.0,2:10,Jaguars,Marqise Lee 3 yard pass from Blake Bortles (Jason Myers kick),19,16
7,4.0,10:03,Lions,Eric Ebron 1 yard rush (Matt Prater kick),19,23
8,4.0,0:22,Lions,Matt Prater 43 yard field goal,19,26
