,Quarter,Tm,Detail,BAL,PIT
0,1.0,Steelers,Roy Gerela 31 yard field goal,0,3
1,2.0,Steelers,Lynn Swann 54 yard pass from Joe Gilliam,0,9
2,2.0,Steelers,Frank Lewis 4 yard pass from Joe Gilliam (Roy Gerela kick),0,16
3,3.0,Steelers,Franco Harris 4 yard rush (Roy Gerela kick),0,23
4,4.0,Steelers,John Fuqua 4 yard rush (Roy Gerela kick),0,30
