,Quarter,Tm,Detail,STL,CLE
0,1.0,Cardinals,Sonny Randle 5 yard pass from Sam Etcheverry (Gerry Perry kick),7,0
1,2.0,Cardinals,Sonny Randle 7 yard pass from Sam Etcheverry (Gerry Perry kick),14,0
2,2.0,Browns,Tom Watkins 16 yard pass from Milt Plum (Lou Groza kick),14,7
3,2.0,Browns,Lou Groza 12 yard field goal,14,10
4,4.0,Cardinals,Gerry Perry 10 yard field goal,17,10
5,4.0,Browns,Leon Clarke 41 yard pass from Milt Plum (Lou Groza kick),17,17
6,4.0,Browns,Lou Groza 19 yard field goal,17,20
