,Quarter,Tm,Detail,CRD,BKN
0,1.0,Cardinals,Marshall Goldberg 3 yard rush,6,0
1,2.0,Cardinals,Johnny Hall 1 yard rush (Lou Zontini kick),13,0
2,3.0,Cardinals,Pop Ivy 40 yard fumble return (Bill Daddio kick),20,0
3,3.0,Dodgers,Bruiser Kinard 60 yard fumble return,20,6
