,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),0,7
1,2.0,Redskins,Ed Sutton 8 yard rush (Sam Baker kick),7,7
2,3.0,Redskins,Sam Baker 10 yard field goal,10,7
3,3.0,Browns,Jim Brown 9 yard rush (Lou Groza kick),10,14
4,3.0,Browns,Tommy O'Connell 1 yard rush (Lou Groza kick),10,21
5,4.0,Redskins,Bert Zagers 56 yard punt return (Sam Baker kick),17,21
