,Quarter,Tm,Detail,TOR,FRN
0,1.0,Tornadoes,Bud Ellor blocked punt recovery in end zone,6,0
1,1.0,Tornadoes,Tom Leary 55 yard interception return,12,0
2,2.0,Tornadoes,Tom Leary 80 yard interception return (Jim Mooney kick),19,0
