,Quarter,Tm,Detail,WAS,PIT
0,1.0,Steelers,Steve Lach unknown yard rush (Joe Glamp kick),0,7
1,2.0,Steelers,Tony Compagno 2 yard rush (Joe Glamp kick),0,14
2,2.0,Redskins,Hugh Taylor 24 yard pass from Sammy Baugh (Dick Poillon kick),7,14
3,3.0,Steelers,Johnny Clement 18 yard rush (Joe Glamp kick),7,21
4,4.0,Redskins,Jim Castiglia 2 yard rush (Dick Poillon kick),14,21
