,Quarter,Tm,Detail,WAS,CLE
0,1.0,Redskins,Vic Janowicz 4 yard rush,6,0
1,2.0,Redskins,John Carson 24 yard pass from Eddie LeBaron (Vic Janowicz kick),13,0
2,2.0,Browns,Lou Groza 44 yard field goal,13,3
3,3.0,Browns,Pete Brewster 21 yard pass from George Ratterman (Lou Groza kick),13,10
4,3.0,Redskins,John Carson 17 yard pass from Eddie LeBaron (Vic Janowicz kick),20,10
5,3.0,Browns,Ray Renfro 8 yard pass from George Ratterman (Lou Groza kick),20,17
6,4.0,Redskins,Eddie LeBaron 13 yard rush (Vic Janowicz kick),27,17
