,Quarter,Tm,Detail,MIA,BAL
0,1.0,Dolphins,Nat Moore 11 yard pass from David Woodley (Uwe von Schamann kick),7,0
1,1.0,Dolphins,Uwe von Schamann 34 yard field goal,10,0
2,2.0,Colts,Zachary Dixon 11 yard rush (Dan Miller kick),10,7
3,2.0,Dolphins,Jimmy Cefalo 34 yard pass from David Woodley (Uwe von Schamann kick),17,7
4,3.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),24,7
5,3.0,Dolphins,Uwe von Schamann 25 yard field goal,27,7
6,3.0,Dolphins,Bruce Hardy 4 yard pass from David Woodley (Uwe von Schamann kick),34,7
