,Quarter,Time,Tm,Detail,GNB,CHI
0,1.0,10:56,Packers,Donald Driver 85 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,1.0,3:32,Packers,Tyrone Davis 19 yard pass from Brett Favre (Ryan Longwell kick),14,0
2,1.0,1:53,Bears,Marty Booker 4 yard pass from Jim Miller (Paul Edinger kick),14,7
3,2.0,13:02,Packers,Bubba Franks 5 yard pass from Brett Favre (Ryan Longwell kick),21,7
4,2.0,2:50,Bears,John Davis 1 yard pass from Jim Miller (Paul Edinger kick),21,14
5,2.0,0:00,Packers,Ryan Longwell 49 yard field goal,24,14
6,3.0,8:53,Packers,Kabeer Gbaja-Biamila 72 yard interception return (Ryan Longwell kick),31,14
7,4.0,13:21,Packers,Ryan Longwell 35 yard field goal,34,14
8,4.0,6:50,Bears,John Davis 21 yard pass from Jim Miller (Paul Edinger kick),34,21
