,Quarter,Tm,Detail,CLE,SFO
0,1.0,Browns,Earnest Byner 10 yard rush (Jeff Jaeger kick),7,0
1,1.0,49ers,Jerry Rice 2 yard pass from Joe Montana (Ray Wersching kick),7,7
2,2.0,Browns,Jeff Jaeger 28 yard field goal,10,7
3,2.0,49ers,Jerry Rice 30 yard pass from Joe Montana (Ray Wersching kick),10,14
4,2.0,49ers,Dwight Clark 40 yard pass from Joe Montana (Ray Wersching kick),10,21
5,2.0,Browns,Brian Brennan 21 yard pass from Bernie Kosar (Jeff Jaeger kick),17,21
6,3.0,49ers,Ray Wersching 38 yard field goal,17,24
7,4.0,49ers,Jerry Rice 29 yard pass from Joe Montana (Ray Wersching kick),17,31
8,4.0,49ers,Joe Cribbs 9 yard rush (Ray Wersching kick),17,38
9,4.0,Browns,David Grayson 17 yard defensive fumble return (Jeff Jaeger kick),24,38
