,Quarter,Tm,Detail,NYJ,GNB
0,1.0,Jets,Tony Paige 5 yard pass from Ken O'Brien (Pat Leahy kick),7,0
1,1.0,Packers,Al Del Greco 39 yard field goal,7,3
2,3.0,Jets,Pat Leahy 25 yard field goal,10,3
3,3.0,Jets,Tony Paige 11 yard rush (Pat Leahy kick),17,3
4,4.0,Jets,Tom Baldwin 9 yard special teams fumble return (Pat Leahy kick),24,3
