,Quarter,Tm,Detail,MIA,BUF
0,1.0,Bills,Andre Reed 40 yard pass from Jim Kelly (Scott Norwood kick),0,7
1,1.0,Dolphins,Pete Stoyanovich 49 yard field goal,3,7
2,1.0,Bills,Scott Norwood 24 yard field goal,3,10
3,1.0,Bills,Scott Norwood 22 yard field goal,3,13
4,2.0,Bills,Thurman Thomas 5 yard rush (Scott Norwood kick),3,20
5,2.0,Dolphins,Mark Duper 64 yard pass from Dan Marino (Pete Stoyanovich kick),10,20
6,2.0,Bills,James Lofton 13 yard pass from Jim Kelly (Scott Norwood kick),10,27
7,2.0,Dolphins,Dan Marino 2 yard rush (Pete Stoyanovich kick),17,27
8,3.0,Dolphins,Pete Stoyanovich 22 yard field goal,20,27
9,3.0,Bills,Scott Norwood 28 yard field goal,20,30
10,4.0,Dolphins,Roy Foster 2 yard pass from Dan Marino (Pete Stoyanovich kick),27,30
11,4.0,Bills,Thurman Thomas 5 yard rush (Scott Norwood kick),27,37
12,4.0,Bills,Andre Reed 26 yard pass from Jim Kelly (Scott Norwood kick),27,44
13,4.0,Dolphins,Tony Martin 8 yard pass from Dan Marino (Pete Stoyanovich kick),34,44
