,Quarter,Tm,Detail,DAL,NWE
0,1,Cowboys,Ron Francis 18 yard interception return (Roger Ruzek kick),7,0
1,2,Patriots,Steve Grogan 2 yard rush (Tony Franklin kick),7,7
2,2,Cowboys,Doug Cosbie 3 yard pass from Danny White (Roger Ruzek kick),14,7
3,4,Patriots,Tony Franklin 41 yard field goal,14,10
4,4,Patriots,Stanley Morgan 5 yard pass from Tom Ramsey (Tony Franklin kick),14,17
5,4,Cowboys,Roger Ruzek 20 yard field goal,17,17
6,OT,Cowboys,Herschel Walker 60 yard rush,23,17
