,Quarter,Time,Tm,Detail,NWE,MIA
0,1,0:28,Dolphins,Olindo Mare 35 yard field goal,0,3
1,2,0:00,Dolphins,Olindo Mare 33 yard field goal,0,6
2,3,2:51,Dolphins,Marty Booker 32 yard pass from Joey Harrington (Olindo Mare kick),0,13
3,4,4:56,Dolphins,Sammy Morris 3 yard rush (Marty Booker pass from Joey Harrington),0,21
