,Quarter,Time,Tm,Detail,MIA,SDG
0,1,13:19,Dolphins,Lamar Smith 2 yard rush (Olindo Mare kick),7,0
1,2,14:16,Dolphins,Lamar Smith 6 yard rush (Olindo Mare kick),14,0
2,3,6:29,Dolphins,Olindo Mare 35 yard field goal,17,0
3,4,14:55,Chargers,Fred McCrary 8 yard pass from Ryan Leaf (John Carney kick),17,7
