,Quarter,Tm,Detail,MIA,BAL
0,1.0,Colts,Don McCauley 3 yard pass from Greg Landry (Steve Mike-Mayer kick),0,7
1,1.0,Dolphins,Duriel Harris 29 yard pass from Don Strock (Uwe von Schamann kick),7,7
2,2.0,Dolphins,Larry Csonka 3 yard rush (Uwe von Schamann kick),14,7
3,3.0,Dolphins,Duriel Harris 31 yard pass from Bob Griese (Uwe von Schamann kick),21,7
4,3.0,Colts,Joe Washington 6 yard pass from Greg Landry (Steve Mike-Mayer kick),21,14
5,4.0,Colts,Steve Mike-Mayer 32 yard field goal,21,17
6,4.0,Dolphins,Tony Nathan 12 yard pass from Bob Griese (Uwe von Schamann kick),28,17
7,4.0,Colts,Mike Siani 31 yard pass from Greg Landry (Steve Mike-Mayer kick),28,24
