,Quarter,Time,Tm,Detail,NOR,SFO
0,1.0,6:08,49ers,Terrell Owens 5 yard pass from Steve Young (Wade Richey kick),0,7
1,2.0,13:29,Saints,Eddie Kennison 2 yard pass from Billy Joe Hobert (Doug Brien kick),7,7
2,2.0,9:54,Saints,Keith Poole 58 yard pass from Billy Joe Hobert (Doug Brien kick),14,7
3,2.0,5:59,49ers,Tommy Vardell 1 yard rush (Wade Richey kick),14,14
4,3.0,9:46,Saints,Lawrence Dawsey 12 yard pass from Billy Joe Hobert (Doug Brien kick),21,14
5,4.0,2:03,49ers,Terrell Owens 4 yard pass from Steve Young (Wade Richey kick),21,21
6,4.0,1:31,49ers,Lance Schulters 64 yard interception return (Wade Richey kick),21,28
