,Quarter,Time,Tm,Detail,PIT,MIA
0,1.0,,Dolphins,O.J. McDuffie 2 yard pass from Dan Marino (Joe Nedney kick),0,7
1,1.0,,Steelers,Norm Johnson 47 yard field goal,3,7
2,2.0,,Dolphins,Calvin Jackson 61 yard interception return (Joe Nedney kick),3,14
3,2.0,,Steelers,Tim Lester 5 yard rush (Norm Johnson kick),10,14
4,3.0,,Steelers,Kordell Stewart 5 yard rush (Norm Johnson kick),17,14
5,3.0,,Dolphins,Joe Nedney 41 yard field goal,17,17
6,4.0,,Steelers,Ernie Mills 20 yard pass from Mike Tomczak (Norm Johnson kick),24,17
