,Quarter,Tm,Detail,RAM,GNB
0,1.0,Packers,Fred Cone 38 yard field goal,0,3
1,1.0,Rams,Brad Myers 13 yard rush (Ben Agajanian kick),7,3
2,2.0,Rams,Brad Myers 3 yard rush (Ben Agajanian kick),14,3
3,2.0,Packers,Fred Cone 3 yard rush (Fred Cone kick),14,10
4,2.0,Rams,Skeets Quinlan 59 yard pass from Norm Van Brocklin (Ben Agajanian kick),21,10
5,3.0,Packers,Fred Cone 33 yard field goal,21,13
6,3.0,Rams,Ben Agajanian 47 yard field goal,24,13
7,3.0,Rams,Tank Younger 2 yard rush (Ben Agajanian kick),31,13
8,4.0,Packers,Johnny Papit 7 yard rush (Fred Cone kick),31,20
9,4.0,Rams,Rudy Bukich 1 yard rush (Ben Agajanian kick),38,20
