,Quarter,Tm,Detail,PIT,MIN
0,1.0,Steelers,Bennie Cunningham 1 yard pass from Terry Bradshaw,6,0
1,2.0,Vikings,Chuck Foreman 8 yard rush (Fred Cox kick),6,7
2,4.0,Vikings,Chuck Foreman 4 yard rush (Fred Cox kick),6,14
3,4.0,Vikings,Fred Cox 43 yard field goal,6,17
