,Quarter,Tm,Detail,HOU,MIN
0,1.0,Oilers,Alonzo Highsmith 1 yard rush (Tony Zendejas kick),7,0
1,1.0,Vikings,Anthony Carter 32 yard pass from Wade Wilson (Teddy Garcia kick),7,7
2,1.0,Vikings,Steve Jordan 2 yard pass from Wade Wilson (Teddy Garcia kick),7,14
3,2.0,Vikings,Rick Fenney 1 yard rush (Teddy Garcia kick),7,21
4,2.0,Vikings,Teddy Garcia 35 yard field goal,7,24
5,3.0,Vikings,Rick Fenney 3 yard rush (Teddy Garcia kick),7,31
6,4.0,Vikings,Alfred Anderson 2 yard rush (Teddy Garcia kick),7,38
