,Quarter,Tm,Detail,NWE,DEN
0,1.0,Broncos,Rubin Carter 2 yard defensive fumble return (Jim Turner kick),0,7
1,1.0,Broncos,Jim Turner 49 yard field goal,0,10
2,1.0,Broncos,Rob Lytle 2 yard rush (Jim Turner kick),0,17
3,1.0,Broncos,Haven Moses 7 yard pass from Craig Morton (Jim Turner kick),0,24
4,2.0,Patriots,Sam Cunningham 2 yard rush (John Smith kick),7,24
5,2.0,Broncos,Rick Upchurch 28 yard pass from Craig Morton (Jim Turner kick),7,31
6,2.0,Broncos,Rob Nairne 22 yard blocked punt return (Jim Turner kick),7,38
7,3.0,Patriots,John Smith 42 yard field goal,10,38
8,4.0,Broncos,Rob Lytle 3 yard rush (Jim Turner kick),10,45
