,Quarter,Time,Tm,Detail,MIN,DAL
0,1.0,9:33,Vikings,Kyle Rudolph 1 yard pass from Kirk Cousins (Dan Bailey kick),7,0
1,1.0,0:37,Vikings,Kyle Rudolph 1 yard pass from Kirk Cousins (Dan Bailey kick),14,0
2,2.0,8:15,Cowboys,Michael Gallup 23 yard pass from Dak Prescott (Brett Maher kick),14,7
3,2.0,2:00,Cowboys,Randall Cobb 22 yard pass from Dak Prescott (Brett Maher kick),14,14
4,2.0,0:02,Vikings,Dan Bailey 26 yard field goal,17,14
5,3.0,9:41,Vikings,Dan Bailey 27 yard field goal,20,14
6,3.0,7:08,Cowboys,Amari Cooper 12 yard pass from Dak Prescott (Brett Maher kick),20,21
7,3.0,0:06,Vikings,Dalvin Cook 2 yard rush (Kyle Rudolph pass from Kirk Cousins ),28,21
8,4.0,10:03,Cowboys,Brett Maher 23 yard field goal,28,24
