,Quarter,Tm,Detail,SEA,KAN
0,1.0,Chiefs,Herman Heard 37 yard rush (Nick Lowery kick),0,7
1,1.0,Seahawks,Steve Largent 15 yard pass from Dave Krieg (Norm Johnson kick),7,7
2,1.0,Chiefs,Nick Lowery 35 yard field goal,7,10
3,1.0,Chiefs,Carlos Carson 81 yard pass from Bill Kenney (Nick Lowery kick),7,17
4,2.0,Seahawks,Paul Skansi 8 yard pass from Dave Krieg (Norm Johnson kick),14,17
5,2.0,Chiefs,Paul Palmer 92 yard kickoff return (Nick Lowery kick),14,24
6,2.0,Seahawks,Norm Johnson 39 yard field goal,17,24
7,2.0,Seahawks,Norm Johnson 24 yard field goal,20,24
8,2.0,Chiefs,Nick Lowery 44 yard field goal,20,27
9,3.0,Chiefs,Mark Adickes 3 yard pass from Bill Kenney (Nick Lowery kick),20,34
10,4.0,Chiefs,Stephone Paige 46 yard pass from Bill Kenney (Nick Lowery kick),20,41
