,Quarter,Tm,Detail,WAS,STL
0,1.0,Redskins,Don Hover defensive fumble recovery in end zone (Mark Moseley kick),7,0
1,1.0,Redskins,Buddy Hardeman 41 yard pass from Joe Theismann (Mark Moseley kick),14,0
2,3.0,Cardinals,Theotis Brown 1 yard rush (Steve Little kick),14,7
3,4.0,Redskins,Mark Moseley 47 yard field goal,17,7
