,Quarter,Tm,Detail,NOR,STL
0,1.0,Cardinals,Stump Mitchell 5 yard rush (Novo Bojovic kick),0,7
1,2.0,Saints,Morten Andersen 31 yard field goal,3,7
2,2.0,Cardinals,Stump Mitchell 16 yard rush (Novo Bojovic kick),3,14
3,2.0,Cardinals,Pat Tilley 7 yard pass from Neil Lomax (Novo Bojovic kick),3,21
4,2.0,Saints,Morten Andersen 30 yard field goal,6,21
5,4.0,Cardinals,Stump Mitchell 5 yard pass from Neil Lomax (Novo Bojovic kick),6,28
6,4.0,Saints,Morten Andersen 42 yard field goal,9,28
7,4.0,Saints,John Tice 2 yard pass from Bobby Hebert (Morten Andersen kick),16,28
