,Quarter,Tm,Detail,SEA,NYG
0,2.0,Giants,Matt Bahr 36 yard field goal,0,3
1,2.0,Seahawks,John Kasay 33 yard field goal,3,3
2,2.0,Giants,Matt Bahr 25 yard field goal,3,6
3,3.0,Seahawks,Tommy Kane 13 yard pass from Stan Gelbaugh (John Kasay kick),10,6
4,3.0,Giants,Jeff Hostetler 7 yard rush (Matt Bahr kick),10,13
5,3.0,Giants,Ed McCaffrey 7 yard pass from Jeff Hostetler (Matt Bahr kick),10,20
6,4.0,Giants,Matt Bahr 30 yard field goal,10,23
