,Quarter,Tm,Detail,BUF,ATL
0,1.0,Falcons,Mick Luckhurst 40 yard field goal,0,3
1,2.0,Falcons,Arthur Cox 7 yard pass from Steve Bartkowski (Mick Luckhurst kick),0,10
2,2.0,Falcons,William Andrews 10 yard rush (Mick Luckhurst kick),0,17
3,2.0,Bills,Perry Tuttle 13 yard pass from Joe Ferguson (Joe Danelo kick),7,17
4,3.0,Falcons,William Andrews 1 yard rush (Mick Luckhurst kick),7,24
5,4.0,Falcons,William Andrews 6 yard pass from Steve Bartkowski (Mick Luckhurst kick),7,31
6,4.0,Bills,Julius Dawkins 28 yard pass from Matt Kofler (Joe Danelo kick),14,31
