,Quarter,Tm,Detail,PHI,PIT
0,1.0,Steelers,Bill Dudley 44 yard rush (John Binotto kick),0,7
1,1.0,Eagles,Bob Davis 3 yard rush (Len Barnum kick),7,7
2,2.0,Eagles,Len Supulski 41 yard pass from Tommy Thompson (Ray Graves kick),14,7
3,3.0,Eagles,Len Barnum 24 yard field goal,17,7
4,4.0,Eagles,Fred Meyer 12 yard pass from Tommy Thompson (Len Barnum kick),24,7
5,4.0,Steelers,Don Looney 24 yard pass from Bill Dudley (Dick Riffle kick),24,14
