,Quarter,Tm,Detail,SEA,SFO
0,2.0,49ers,Freddie Solomon 27 yard pass from Joe Montana (Ray Wersching kick),0,7
1,2.0,49ers,"Safety, Harty tackled Warner in end zone",0,9
2,2.0,49ers,Ray Wersching 32 yard field goal,0,12
3,4.0,49ers,Dwight Clark 22 yard pass from Joe Montana (Ray Wersching kick),0,19
4,4.0,Seahawks,Sam Merriman special teams fumble recovery in end zone,6,19
