,Quarter,Tm,Detail,DET,KAN
0,1.0,Chiefs,Nick Lowery 21 yard field goal,0,3
1,1.0,Lions,Barry Sanders 47 yard pass from Bob Gagliano (Rich Karlis kick),7,3
2,1.0,Lions,Barry Sanders 13 yard rush (Rich Karlis kick),14,3
3,2.0,Chiefs,Jonathan Hayes 1 yard pass from Steve DeBerg (Nick Lowery kick),14,10
4,2.0,Chiefs,Christian Okoye 4 yard rush (Nick Lowery kick),14,17
5,3.0,Chiefs,Nick Lowery 32 yard field goal,14,20
6,3.0,Chiefs,"Safety, Maas tackled Gagliano in end zone",14,22
7,3.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),14,29
8,4.0,Lions,Rich Karlis 21 yard field goal,17,29
9,4.0,Chiefs,Barry Word 53 yard rush (Nick Lowery kick),17,36
10,4.0,Lions,James Wilder 8 yard pass from Andre Ware (Rich Karlis kick),24,36
11,4.0,Chiefs,Barry Word 1 yard rush (Nick Lowery kick),24,43
