,Quarter,Time,Tm,Detail,CHI,SFO
0,1,8:59,49ers,Greg Clark 1 yard pass from Jeff Garcia (Wade Richey kick),0,7
1,2,0:03,49ers,Wade Richey 28 yard field goal,0,10
2,3,7:15,49ers,Terrell Owens 27 yard pass from Jeff Garcia (Wade Richey kick),0,17
