,Quarter,Tm,Detail,PHI,RAM
0,1.0,Rams,Dick Bass 1 yard rush (Bruce Gossett kick),0,7
1,2.0,Eagles,Sam Baker 40 yard field goal,3,7
2,3.0,Rams,Bruce Gossett 12 yard field goal,3,10
3,3.0,Rams,Ben Wilson 1 yard rush (Bruce Gossett kick),3,17
4,3.0,Eagles,Ollie Matson 24 yard pass from King Hill (Sam Baker kick),10,17
5,4.0,Rams,Bruce Gossett 27 yard field goal,10,20
