,Quarter,Tm,Detail,CLE,OAK
0,1.0,Raiders,Cliff Branch 22 yard pass from Ken Stabler (George Blanda kick),0,7
1,1.0,Browns,Greg Pruitt 10 yard rush (Don Cockroft kick),7,7
2,2.0,Raiders,Cliff Branch 21 yard pass from Ken Stabler (George Blanda kick),7,14
3,2.0,Browns,Don Cockroft 25 yard field goal,10,14
4,2.0,Raiders,George Blanda 28 yard field goal,10,17
5,3.0,Browns,Cleo Miller 1 yard rush (Don Cockroft kick),17,17
6,3.0,Raiders,Fred Biletnikoff 15 yard pass from Ken Stabler (George Blanda kick),17,24
7,4.0,Raiders,Clarence Davis 31 yard pass from Ken Stabler (George Blanda kick),17,31
8,4.0,Raiders,Clarence Davis 26 yard rush (George Blanda kick),17,38
