,Quarter,Tm,Detail,GNB,NYG
0,1.0,Giants,Earnest Gray 50 yard pass from Phil Simms (Joe Danelo kick),0,7
1,2.0,Packers,Gerry Ellis 2 yard rush (Tom Birney kick),7,7
2,2.0,Giants,Earnest Gray 20 yard pass from Phil Simms (Joe Danelo kick),7,14
3,3.0,Giants,Earnest Gray 4 yard pass from Phil Simms (Joe Danelo kick),7,21
4,3.0,Packers,Gerry Ellis 4 yard pass from Lynn Dickey (Tom Birney kick),14,21
5,4.0,Giants,Joe Danelo 24 yard field goal,14,24
6,4.0,Packers,James Lofton 8 yard pass from Lynn Dickey (Tom Birney kick),21,24
7,4.0,Giants,Joe Danelo 32 yard field goal,21,27
