,Quarter,Tm,Detail,BUF,PIT
0,1.0,Steelers,Leroy Thompson 9 yard rush (Gary Anderson kick),0,7
1,2.0,Steelers,Gary Anderson 37 yard field goal,0,10
2,3.0,Steelers,Eric Green 1 yard pass from Neil O'Donnell (Gary Anderson kick),0,17
3,3.0,Steelers,Gary Anderson 19 yard field goal,0,20
4,4.0,Steelers,Gary Anderson 31 yard field goal,0,23
