,Quarter,Tm,Detail,IND,NWE
0,1.0,Patriots,Tony Franklin 21 yard field goal,0,3
1,2.0,Patriots,Lin Dawson 3 yard pass from Tony Eason (Tony Franklin kick),0,10
2,2.0,Patriots,Tony Franklin 34 yard field goal,0,13
3,3.0,Colts,Raul Allegre 25 yard field goal,3,13
4,3.0,Colts,Bernard Henry 19 yard pass from Art Schlichter (Raul Allegre kick),10,13
5,4.0,Patriots,Tony Franklin 36 yard field goal,10,16
