,Quarter,Tm,Detail,AKR,CLE
0,1.0,Bulldogs,"Safety,",0,2
1,1.0,Bulldogs,Link Lyman fumble recovery in end zone (Hoge Workman kick),0,9
2,1.0,Pros,Carl Cramer unknown yard rush (Dutch Wallace kick),7,9
3,2.0,Pros,Stan Mills 75 yard interception return (Dutch Wallace kick),14,9
4,2.0,Bulldogs,Wooky Roberts 13 yard pass from Hoge Workman (Hoge Workman kick),14,16
5,2.0,Bulldogs,Dave Noble unknown yard pass from Hoge Workman,14,22
6,4.0,Bulldogs,John Tanner unknown yard rush (Hoge Workman kick),14,29
