,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Jets,Pat Leahy 42 yard field goal,3,0
1,1.0,Jets,Pat Leahy 27 yard field goal,6,0
2,2.0,Jets,Carl Garrett 4 yard rush (Pat Leahy kick),13,0
3,2.0,Patriots,Randy Vataha 20 yard pass from Steve Grogan (John Smith kick),13,7
4,3.0,Jets,John Riggins 37 yard rush (Pat Leahy kick),20,7
5,3.0,Patriots,Don Calhoun 38 yard rush (John Smith kick),20,14
6,4.0,Jets,John Riggins 6 yard rush (Pat Leahy kick),27,14
7,4.0,Jets,Pat Leahy 44 yard field goal,30,14
8,4.0,Patriots,Randy Vataha 10 yard pass from Steve Grogan (John Smith kick),30,21
9,4.0,Patriots,Steve Grogan 1 yard rush (John Smith kick),30,28
