,Quarter,Tm,Detail,CHI,BUF
0,2.0,Bears,Kevin Butler 28 yard field goal,3,0
1,2.0,Bears,Kevin Butler 42 yard field goal,6,0
2,2.0,Bills,Al Edwards 33 yard pass from Jim Kelly (Scott Norwood kick),6,7
3,3.0,Bills,Carwell Gardner unknown yard rush (Scott Norwood kick),6,14
4,3.0,Bills,Butch Rolle 2 yard pass from Jim Kelly (Scott Norwood kick),6,21
5,4.0,Bears,Neal Anderson 2 yard rush (Kevin Butler kick),13,21
6,4.0,Bills,James Lofton 77 yard pass from Jim Kelly (Scott Norwood kick),13,28
7,4.0,Bills,Thurman Thomas 11 yard rush (Scott Norwood kick),13,35
8,4.0,Bears,Mark Green 1 yard rush (Kevin Butler kick),20,35
