,Quarter,Tm,Detail,RAM,DAL
0,1.0,Rams,Cleveland Gary 1 yard rush (Tony Zendejas kick),7,0
1,1.0,Cowboys,Lin Elliott 37 yard field goal,7,3
2,2.0,Cowboys,Emmitt Smith 3 yard rush (Lin Elliott kick),7,10
3,2.0,Cowboys,Lin Elliott 42 yard field goal,7,13
4,2.0,Rams,Jeff Chadwick 8 yard pass from Jim Everett (Tony Zendejas kick),14,13
5,2.0,Rams,Cleveland Gary 3 yard pass from Jim Everett (Tony Zendejas kick),21,13
6,3.0,Cowboys,Lin Elliott 36 yard field goal,21,16
7,3.0,Cowboys,Kelvin Martin 74 yard punt return (Lin Elliott kick),21,23
8,4.0,Rams,Tony Zendejas 33 yard field goal,24,23
9,4.0,Rams,Tony Zendejas 44 yard field goal,27,23
