,Quarter,Tm,Detail,MIA,PHI
0,1.0,Dolphins,Garo Yepremian 47 yard field goal,3,0
1,2.0,Eagles,Mike Hogan 4 yard pass from Ron Jaworski (Nick Mike-Mayer kick),3,7
2,4.0,Eagles,Mike Hogan 5 yard rush (Nick Mike-Mayer kick),3,14
3,4.0,Eagles,Nick Mike-Mayer 34 yard field goal,3,17
