,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chargers,Don Woods 3 yard pass from Dan Fouts (Ray Wersching kick),0,7
1,1.0,Chiefs,Ed Podolak 5 yard rush (Jan Stenerud kick),7,7
2,1.0,Chiefs,Jan Stenerud 40 yard field goal,10,7
3,2.0,Chargers,Rickey Young 6 yard pass from Dan Fouts,10,13
4,3.0,Chiefs,Jan Stenerud 28 yard field goal,13,13
5,4.0,Chiefs,Jan Stenerud 26 yard field goal,16,13
6,4.0,Chargers,Charlie Joiner 13 yard pass from Dan Fouts (Ray Wersching kick),16,20
7,4.0,Chiefs,Ed Podolak 5 yard rush (Jan Stenerud kick),23,20
