,Quarter,Time,Tm,Detail,GNB,CIN
0,1.0,8:45,Bengals,Chris Perry 4 yard pass from Carson Palmer (Shayne Graham kick),0,7
1,2.0,9:35,Packers,Tony Fisher 1 yard rush (Ryan Longwell kick),7,7
2,2.0,3:07,Bengals,T.J. Houshmandzadeh 8 yard pass from Carson Palmer (Shayne Graham kick),7,14
3,4.0,13:17,Bengals,Jeremi Johnson 27 yard pass from Carson Palmer (Shayne Graham kick),7,21
4,4.0,3:11,Packers,Bubba Franks 1 yard pass from Brett Favre (Ryan Longwell kick),14,21
