,Quarter,Tm,Detail,STL,CLE
0,1.0,Cardinals,Willis Crenshaw 78 yard pass from Charley Johnson (Jim Bakken kick),7,0
1,1.0,Browns,Lou Groza 34 yard field goal,7,3
2,2.0,Browns,Gary Collins 13 yard pass from Frank Ryan (Lou Groza kick),7,10
3,2.0,Cardinals,Sonny Randle 32 yard pass from Charley Johnson (Jim Bakken kick),14,10
4,2.0,Cardinals,Bill Triplett 4 yard rush (Jim Bakken kick),21,10
5,2.0,Cardinals,Sonny Randle 7 yard pass from Charley Johnson (Jim Bakken kick),28,10
6,2.0,Cardinals,Bobby Joe Conrad 9 yard pass from Charley Johnson (Jim Bakken kick),35,10
7,3.0,Browns,Lou Groza 47 yard field goal,35,13
8,3.0,Cardinals,Sonny Randle 56 yard pass from Charley Johnson (Jim Bakken kick),42,13
9,3.0,Cardinals,Billy Gambrell 3 yard pass from Charley Johnson (Jim Bakken kick),49,13
