,Quarter,Tm,Detail,MIN,NYG
0,1.0,Giants,Pete Gogolak 25 yard field goal,0,3
1,1.0,Vikings,Fred Cox 11 yard field goal,3,3
2,2.0,Vikings,John Henderson 47 yard pass from Gary Cuozzo (Fred Cox kick),10,3
3,2.0,Vikings,Gene Washington 48 yard pass from Gary Cuozzo (Fred Cox kick),17,3
4,2.0,Giants,Homer Jones 54 yard pass from Fran Tarkenton (Pete Gogolak kick),17,10
5,3.0,Vikings,Fred Cox 17 yard field goal,20,10
6,4.0,Vikings,Fred Cox 10 yard field goal,23,10
7,4.0,Giants,Don Herrmann 16 yard pass from Fran Tarkenton (Pete Gogolak kick),23,17
8,4.0,Giants,Don Herrmann 10 yard pass from Fran Tarkenton (Pete Gogolak kick),23,24
